Machine Type,Virtual CPUs,RAM (GB),Maximum Storage Capacity,Price ($/hour),Sustained Use Price ($/hour)

db-f1-micro,Shared,0.6,"3,062 GB",$0.0150,$0.0105
db-g1-small,Shared,1.7,"3,062 GB",$0.0500,$0.0350
db-n1-standard-1,1,3.75,"10,230 GB",$0.0965,$0.0676
db-n1-standard-2,2,7.5,"10,230 GB",$0.1930,$0.1351
db-n1-standard-4,4,15,"10,230 GB",$0.3860,$0.2703
db-n1-standard-8,8,30,"10,230 GB",$0.7720,$0.5405
db-n1-standard-16,16,60,"10,230 GB",$1.5445,$1.0810
db-n1-highmem-2,2,13,"10,230 GB",$0.2515,$0.1761
db-n1-highmem-4,4,26,"10,230 GB",$0.5030,$0.3521
db-n1-highmem-8,8,52,"10,230 GB",$1.0060,$0.7042
db-n1-highmem-16,16,104,"10,230 GB",$2.0120,$1.4084
""
